user;month;type;class;category
bta3_c2;10;bta;bta3;cultural_and_sports
bta3_c2;11;bta;bta3;cultural_and_sports
bta3_c2;12;bta;bta3;cultural_and_sports
bta2_6;1;bta;bta2;office
bta2_6;2;bta;bta2;office
bta2_6;3;bta;bta2;office
bta2_6;4;bta;bta2;office
bta2_6;5;bta;bta2;office
bta2_6;6;bta;bta2;office
bta2_6;7;bta;bta2;office
bta2_6;8;bta;bta2;office
bta2_6;9;bta;bta2;office
bta2_6;10;bta;bta2;office
bta2_6;11;bta;bta2;office
bta2_6;12;bta;bta2;office
bta2_10;1;bta;bta2;commercial
bta2_10;2;bta;bta2;commercial
bta2_10;3;bta;bta2;commercial
bta2_10;4;bta;bta2;commercial
bta2_10;5;bta;bta2;commercial
bta2_10;6;bta;bta2;commercial
bta2_10;7;bta;bta2;commercial
bta2_10;8;bta;bta2;commercial
bta2_10;9;bta;bta2;commercial
bta2_10;10;bta;bta2;commercial
bta2_10;11;bta;bta2;commercial
bta2_10;12;bta;bta2;commercial
dom1_1;1;dom;dom1_2;household
dom1_1;2;dom;dom1_2;household
dom1_1;3;dom;dom1_2;household
dom1_1;4;dom;dom1_2;household
dom1_1;5;dom;dom1_2;household
dom1_1;6;dom;dom1_2;household
dom1_1;7;dom;dom1_2;household
dom1_1;8;dom;dom1_2;household
dom1_1;9;dom;dom1_2;household
dom1_1;10;dom;dom1_2;household
dom1_1;11;dom;dom1_2;household
dom1_1;12;dom;dom1_2;household
bta3_5;1;bta;bta3;commercial
bta3_5;2;bta;bta3;commercial
bta3_5;3;bta;bta3;commercial
bta3_5;4;bta;bta3;commercial
bta3_5;5;bta;bta3;commercial
bta3_5;6;bta;bta3;commercial
bta3_5;7;bta;bta3;commercial
bta3_5;8;bta;bta3;commercial
bta3_5;9;bta;bta3;commercial
bta3_5;10;bta;bta3;commercial
bta3_5;11;bta;bta3;commercial
bta3_5;12;bta;bta3;commercial
bta2_7;4;bta;bta2;office
bta2_7;5;bta;bta2;office
bta2_7;6;bta;bta2;office
bta2_7;7;bta;bta2;office
bta2_7;8;bta;bta2;office
bta2_7;9;bta;bta2;office
bta2_7;10;bta;bta2;office
bta2_7;11;bta;bta2;office
bta2_7;12;bta;bta2;office
dom4_4;1;dom;dom4;household
dom4_4;2;dom;dom4;household
dom4_4;3;dom;dom4;household
dom4_4;4;dom;dom4;household
dom4_4;5;dom;dom4;household
dom4_4;6;dom;dom4;household
dom4_4;7;dom;dom4;household
dom4_4;8;dom;dom4;household
dom4_4;9;dom;dom4;household
dom4_4;10;dom;dom4;household
dom4_4;12;dom;dom4;household
dom4_9;1;dom;dom4;household
dom4_9;2;dom;dom4;household
dom4_9;3;dom;dom4;household
dom4_9;4;dom;dom4;household
