user;month;x_f1;x_f2;x_f3;
bta5_6;1;221.7600003;191.1480002;306.0460002;718.9540007
bta5_6;2;224.6229999;181.216;242.4760001;648.315
bta5_6;3;276.1339999;195.0860001;272.3115;743.5315
bta5_6;4;186.4579997;184.0919998;241.3429998;611.8929993
bta5_6;5;205.4419998;161.4050003;288.0049999;654.852
bta5_6;6;224.1550001;143.9200003;250.1660002;618.2410006
bta5_6;7;169.3609999;145.2299999;228.7770002;543.368
bta5_6;8;197.543;128.5079998;223.6940002;549.745
bta5_6;9;202.346;159.4090001;243.9059999;605.661
bta5_6;10;221.844;216.0939999;261.9675001;699.9055
bta5_6;11;256.2129999;176.4279997;279.2549997;711.8959993
bta5_6;12;258.8460001;164.9879998;296.062;719.8959999
bta4_2;1;25.22899997;19.91299999;38.58000004;83.722
bta4_2;2;22.66599999;19.361;30.52600001;72.553
bta4_2;3;25.06700002;20.384;32.53099997;77.98199999
bta4_2;4;23.11000003;17.82599998;33.44399999;74.38
bta4_2;5;20.57800003;15.83700001;33.92300003;70.33800007
bta4_2;6;19.691;15.44899999;31.52300001;66.663
bta4_2;7;22.68400001;18.11200003;30.92800003;71.72400007
bta4_2;8;21.41799999;17.27999998;32.82200002;71.51999999
bta4_2;9;23.55799997;19.79000001;31.22200002;74.57
bta4_2;10;23.30299998;22.34200001;34.56450001;80.2095
bta4_2;11;27.38100002;20.31500002;34.11299996;81.809
bta4_2;12;34.132;19.43899998;38.12600002;91.697
bta3_9;1;802.207;239.943;217.625;1259.775
bta3_9;2;511.7610003;191.6390001;100.7039996;804.104
bta3_9;3;529.5900003;184.0039998;108.6994999;822.2935
bta3_9;4;365.8990003;156.5449999;132.5939999;655.0380001
bta3_9;5;335.0449999;146.0440001;141.6489999;622.7379999
bta3_9;6;420.0920001;176.012;135.9019999;732.006
bta3_9;7;472.2129999;208.0360004;148.5909997;828.84
bta3_9;8;374.262;163.8869997;139.0960002;677.2449999
bta3_9;9;267.509;103.1929998;89.73299982;460.4349996
bta3_9;10;349.5829997;154.9609999;129.0049998;633.5489994
bta3_9;11;530.1580001;168.1709998;120.5130001;818.842
bta3_9;12;832.5959997;229.2159995;220.3149995;1282.126999
bta5_8;1;510.0089999;204.1810005;336.7919996;1050.982
bta5_8;2;500.4409999;203.8519999;247.4280002;951.721
bta5_8;3;554.992;222.9519998;257.3445002;1035.2885
bta5_8;4;602.1229997;228.2290005;293.6699997;1124.022
bta5_8;5;536.1429999;227.0519995;318.1799995;1081.374999
bta5_8;6;678.1660002;217.3439996;294.2690002;1189.779
bta5_8;7;783.0549995;204.1500006;254.5829999;1241.788
bta5_8;8;356.3680001;165.7579998;253.1890001;775.315
bta5_8;9;459.5539999;185.6469996;247.9089996;893.1099991
bta5_8;10;477.0600005;216.0400001;299.1720005;992.2720011
bta5_8;11;525.6360001;196.617;282.7009999;1004.954
bta5_8;12;556.8439996;193.5680005;299.7779999;1050.19
dom3_2;1;184.129;168.5170002;311.6669998;664.313
dom3_2;2;168.4090001;153.3390001;245.1649998;566.913
dom3_2;3;188.273;162.6709998;237.7795003;588.7235001
dom3_2;4;218.5980002;184.1000002;364.1410004;766.8390008
dom3_2;5;211.1040001;190.9379999;491.976;894.018
dom3_2;6;387.8179997;356.4789994;645.6729996;1389.969999
dom3_2;7;491.1590002;426.3850002;630.0879996;1547.632
dom3_2;8;83.15600002;75.29300002;158.153;316.602
dom3_2;9;347.1180005;262.2830004;433.6840002;1043.085001
dom3_2;10;195.4050003;198.985;309.7539997;704.144
dom3_2;11;195.5059999;174.7089998;293.3139997;663.5289994
dom3_2;12;200.8400003;155.4739998;303.5559999;659.87
bta4_9;1;38.76400001;35.54799993;74.61900005;148.931
bta4_9;2;36.43899994;34.697;59.73800006;130.874
bta4_9;3;37.99900003;36.08799996;64.856;138.943
bta4_9;4;33.29600004;31.10700001;69.09699995;133.5
bta4_9;5;30.87499998;27.34399994;68.34699995;126.5659999
bta4_9;6;30.651;25.87500003;61.84499997;118.371
bta4_9;7;28.96500002;28.57800003;60.96899994;118.512
bta4_9;8;24.70699999;27.80699995;68.33199994;120.8459999
bta4_9;9;31.39000004;37.95800006;68.43000003;137.7780001
bta4_9;10;36.40199994;45.30200003;76.07850003;157.7825
bta4_9;11;44.90899995;43.44199993;76.15499996;164.5059998
bta4_9;12;48.36999993;41.21299999;81.68600008;171.269
dom3_6;1;37.44800002;50.49200003;55.71799995;143.658
dom3_6;2;27.43900005;50.41700004;35.71500002;113.5710001
dom3_6;3;26.00200003;54.74799997;33.625;114.375
dom3_6;4;21.97699996;48.43300002;34.56000002;104.97
dom3_6;5;19.27800001;45.99099999;36.286;101.555
dom3_6;6;20.57000004;43.59300003;39.91800004;104.0810001
dom3_6;7;21.80199995;60.37699995;42.47899997;124.6579999
dom3_6;8;40.23500005;27.10000001;29.78900004;97.1240001
dom3_6;9;22.30000004;38.62600003;29.27500001;90.20100008
dom3_6;10;29.71300003;63.63499998;36.51799999;129.866
dom3_6;11;29.03600001;46.98599999;38.041;114.063
dom3_6;12;42.84900001;48.93600003;52.88799996;144.673
bta6l_c1;1;1874.145;343.0869996;556.4950004;2773.727
bta6l_c1;2;2089.059999;344.6329988;443.840999;2877.533997
bta6l_c1;3;2309.960999;321.9170004;437.3665003;3069.2445
bta6l_c1;4;1411.236;220.6259996;353.6170006;1985.479
bta6l_c1;5;1545.701999;204.5769992;319.1699997;2069.448998
bta6l_c1;6;609.5599997;163.9599998;279.8570005;1053.377
bta6l_c1;7;177.436;130.066;240.876;548.378
bta6l_c1;8;212.5910001;125.443;241.6149999;579.649
bta6l_c1;9;1147.611001;276.631;343.9039992;1768.146
bta6l_c1;10;1735.707999;356.2060006;490.847;2582.761
bta6l_c1;11;2560.744001;328.248;427.8709985;3316.863
bta6l_c1;12;2020.997999;345.4749991;595.3499991;2961.822997
bta3_8;5;153.405;49.05400008;12.74599991;215.205
bta3_8;6;265.7689999;61.89799994;12.20899984;339.8759997
bta3_8;7;238.022;50.84899989;7.022000116;295.893
bta3_8;8;259.7879999;41.42200002;10.36800005;311.578
bta3_8;9;143.7119999;31.88600008;5.407000004;181.005
bta1_2;1;2.188999998;1.459999998;2.857999998;6.506999994
bta1_2;2;2.294000003;1.456000001;2.307000003;6.057000007
bta1_2;3;2.410999997;1.628999999;2.489499997;6.529499993
bta1_2;4;2.231000002;1.468000001;2.549999997;6.249
bta1_2;5;2.226999999;1.502999998;2.748000003;6.478
bta1_2;6;2.203999999;1.588000003;2.581999998;6.374
bta1_2;7;2.246999998;1.772000001;2.465000001;6.484
bta1_2;8;2.260999998;1.602000002;2.63;6.493
bta1_2;9;2.298999998;1.549999998;2.438999998;6.287999994
bta1_2;10;2.207999997;1.688999999;2.632499997;6.529499993
bta1_2;11;2.310999999;1.527000001;2.572000001;6.410000001
bta1_2;12;2.372000002;1.384999998;2.727;6.484
bta6_3;1;637.6780001;493.2840001;537.1679998;1668.13
bta6_3;2;886.7229991;753.9609997;710.1670012;2350.851
bta6_3;3;1023.695999;776.229;738.8370012;2538.762
bta6_3;4;700.3969997;505.4590003;459.346;1665.202
bta6_3;5;972.3730009;802.7679991;886.091;2661.232
bta6_3;6;1048.325;871.7469991;1020.836001;2940.908
bta6_3;7;1163.980999;1085.811;1059.372998;3309.164997
bta6_3;8;857.8610014;810.3569995;1091.586999;2759.805
bta6_3;9;1080.227;894.4439994;879.4880008;2854.159
bta6_3;10;864.9210008;806.2530002;720.578999;2391.753
bta6_3;11;874.7280006;720.695999;662.5910003;2258.015
bta6_3;12;898.6980004;687.1299994;683.0750001;2268.903
dom2_2;1;35.54499996;33.66400006;45.69599998;114.905
dom2_2;2;30.82800001;34.62499995;35.71100004;101.164
dom2_2;3;35.61200001;34.18299998;36.40250001;106.1975
dom2_2;4;39.64400006;33.61;41.08700005;114.3410001
dom2_2;5;40.70099995;35.739;45.85300005;122.293
dom2_2;6;31.738;35.65399996;39.10000004;106.492
dom2_2;7;33.13700001;38.65800004;37.16199995;108.957
dom2_2;8;37.47700002;34.57699995;41.25500003;113.309
dom2_2;9;31.53000002;35.29799999;35.686;102.514
dom2_2;10;26.37499999;41.31399999;38.66450001;106.3535
dom2_2;11;31.75800002;38.57600003;38.20199995;108.536
dom2_2;12;38.268;37.29300003;42.30699997;117.868
dom3_10;1;74.27699998;75.27400012;98.0279999;247.579
dom3_10;2;76.38699996;78.06000005;73.84799999;228.295
dom3_10;3;81.08700011;81.57700009;72.72200003;235.3860002
dom3_10;4;84.35099998;76.87700001;98.55600001;259.784
dom3_10;5;75.43499995;62.23900003;79.37600002;217.05
dom3_10;6;85.23499993;105.6930001;107.283;298.211
dom3_10;7;96.63900012;131.7020001;121.8360002;350.1770004
dom3_10;8;87.01599991;112.2429999;167.2159998;366.4749996
dom3_10;9;68.34000009;75.45100004;78.51900009;222.3100002
dom3_10;10;63.42399996;94.03900009;78.11649995;235.5795
dom3_10;11;87.30599991;94.09500008;91.493;272.894
dom3_10;12;79.29000008;72.05099999;90.74299993;242.084
bta3_7;1;240.1470001;140.915;150.1379999;531.2
bta3_7;2;210.5730002;140.9430002;137.9740001;489.4900005
bta3_7;3;203.2350002;135.3359999;142.7969998;481.3679999
bta3_7;4;68.61399994;51.13600006;65.794;185.544
bta3_7;5;71.38300006;59.72799991;82.04400003;213.155
bta3_7;6;92.80699995;80.81199991;93.54999987;267.1689997
bta3_7;7;125.3140001;90.27099991;89.40899994;304.994
bta3_7;8;86.36299991;60.797;62.33700009;209.497
bta3_7;9;123.2679999;85.87099987;58.02799994;267.1669997
bta3_7;10;137.5099998;110.8420001;119.0640001;367.416
bta3_7;11;187.8830001;132.4340002;126.7550002;447.0720005
bta3_7;12;224.8330001;125.1419999;137.0910001;487.0660001
bta1_10;1;35.08999998;25.269;37.43700002;97.796
bta1_10;2;43.29000004;26.369;27.20799996;96.867
bta1_10;3;50.66299998;27.54900004;32.29349998;110.5055
bta1_10;4;37.30599995;41.36199997;38.93599997;117.6039999
bta1_10;5;38.17599998;39.67099999;49.34500003;127.192
bta1_10;6;53.29399995;35.06899999;38.57400005;126.937
bta1_10;7;54.28199999;41.96799999;41.92600002;138.176
bta1_10;8;59.68900008;40.05999997;51.92599995;151.675
bta1_10;10;33.75199996;21.44899999;32.28750004;87.48849999
bta1_10;11;40.06200002;22.81300002;30.36899996;93.244
bta1_10;12;41.03700001;23.06700004;33.87099995;97.975
bta6l_5;1;1742.746;904.4620001;1823.263;4470.471
bta6l_5;2;1450.517999;694.8719998;1179.071001;3324.461
bta6l_5;3;1505.439;561.5910011;894.9179986;2961.948
bta6l_5;4;1155.758001;377.888999;547.8550003;2081.502
bta6l_5;5;1118.625;326.4920005;496.1549995;1941.272
bta6l_5;6;1329.28;492.1120004;742.1269993;2563.519
bta6l_5;7;1344.659001;570.4509991;739.9250002;2655.035
bta6l_5;8;1155.622;487.1540002;774.5139998;2417.29
bta6l_5;9;1284.915;449.705999;637.821001;2372.442
bta6l_5;10;1182.995999;452.9860001;680.1865004;2316.1685
bta6l_5;11;1466.972;696.2049987;1231.865998;3395.042997
bta6l_5;12;1867.419998;840.7780009;1713.622001;4421.82
bta5_1;1;877.6069999;272.8169998;114.9850003;1265.409
bta5_1;2;804.8940003;291.7419999;93.96399981;1190.6
bta5_1;3;882.2449998;319.3380001;86.63300006;1288.216
bta5_1;4;869.3679995;267.0549996;126.2979997;1262.720999
bta5_1;5;842.1000006;304.7030001;130.5409994;1277.344
bta5_1;6;828.1289995;298.2490002;118.7830002;1245.161
bta5_1;7;871.2469999;273.0470005;118.6309996;1262.925
bta5_1;8;735.5960002;196.0889996;128.4570001;1060.142
bta5_1;9;888.1279994;287.7579996;103.7349998;1279.620999
bta5_1;10;863.1669997;298.5259994;95.32499967;1257.017999
bta5_1;11;939.7500006;281.8639997;109.5049997;1331.119
bta5_1;12;901.9910005;270.0920005;92.34700019;1264.430001
bta1_c1;1;12.79400003;20.22100002;46.70400003;79.71900008
bta1_c1;2;10.87799997;19.16000003;38.305;68.343
bta1_c1;3;11.85799999;13.86000002;28.93799999;54.656
bta1_c1;4;9.69400001;9.745999983;23.79700001;43.237
bta1_c1;5;10.73300001;8.832000013;21.92599998;41.491
bta1_c1;6;10.81899999;8.994000001;21.05400001;40.867
bta1_c1;7;10.753;9.777000008;21.69399999;42.224
bta1_c1;8;11.26500001;9.83599998;22.48000001;43.581
bta1_c1;9;10.97200001;15.98299998;41.20200001;68.157
bta1_c1;10;10.63499997;19.933;42.47300003;73.041
bta1_c1;11;13.18099997;19.934;42.03000003;75.145
bta1_c1;12;15.229;20.611;45.631;81.471
bta4_1;1;390.7490002;60.6039999;21.2159999;472.569
bta4_1;2;189.03;38.79300011;22.42799988;250.251
bta4_1;3;240.365;37.11500011;18.75450014;296.2345003
bta4_1;4;189.747;27.74399998;14.97;232.461
bta4_1;5;104.1929999;18.09300003;19.12200003;141.408
bta4_1;6;91.983;19.18200001;17.80699999;128.972
bta4_1;7;89.48099998;22.21899995;18.67599995;130.3759999
bta4_1;8;93.11199996;19.66599998;20.24600005;133.024
bta4_1;9;110.214;21.45099994;17.63400005;149.299
bta4_1;10;186.702;38.16699992;19.64850007;244.5175
bta4_1;11;344.9960002;55.68199982;31.42000002;432.098
bta4_1;12;506.08;43.65800005;24.74599998;574.484
bta6l_4;1;644.6219996;564.5619997;883.7070007;2092.891
bta6l_4;2;914.392001;895.2300005;887.2560011;2696.878003
bta6l_4;3;990.9689997;957.4870014;919.1769989;2867.633
bta6l_4;4;627.3399999;607.303;725.265;1959.908
bta6l_4;5;897.4289994;767.1059989;953.6969991;2618.231997
bta6l_4;6;1286.944998;1153.445999;1292.968999;3733.359996
bta6l_4;7;1321.266001;1229.762999;1258.951;3809.98
bta6l_4;8;477.0680003;235.058;458.1529997;1170.279
bta6l_4;9;1198.513999;1036.379002;1140.507999;3375.401
bta6l_4;10;996.6310012;1010.775;1087.421501;3094.827502
bta6l_4;11;933.8340003;898.4249989;910.4430007;2742.702
bta6l_4;12;941.9560002;804.2639987;1002.024001;2748.244
bta4_5;1;27.99599996;22.792;43.32100004;94.109
bta4_5;2;27.97300002;22.92999996;34.39000002;85.293
bta4_5;3;28.29199999;23.65800004;35.87099997;87.821
bta4_5;4;33.70899996;26.57099998;45.15299995;105.4329999
bta4_5;5;32.45100004;24.92899995;49.42100001;106.801
bta4_5;6;27.432;20.66299996;38.91599996;87.01099992
bta4_5;7;29.22799996;23.03899997;39.00299998;91.26999991
bta4_5;8;26.04200003;21.77799997;39.951;87.771
bta4_5;9;31.19899997;27.20500004;40.41099999;98.815
bta4_5;10;29.34800004;29.67600003;42.21850003;101.2425001
bta4_5;11;32.32699996;24.76399996;40.43599999;97.52699991
bta4_5;12;33.55399997;23.04700005;43.18199998;99.783
bta4_4;1;24.818;19.72999999;35.09800001;79.646
bta4_4;2;24.27599998;19.63199999;28.05599997;71.96399994
bta4_4;3;27.60299996;21.28999998;30.02899997;78.92199991
bta4_4;4;27.35099997;19.23600001;28.52000002;75.107
bta4_4;5;28.217;19.822;31.171;79.21
bta4_4;6;25.486;17.662;26.414;69.562
bta4_4;7;25.53199999;20.183;27.12000001;72.835
bta4_4;8;24.76400003;18.27299998;30.23999999;73.277
bta4_4;9;25.62799997;19.71999997;26.14399999;71.49199993
bta4_4;10;26.75800002;22.84899997;28.5005;78.10749999
bta4_4;11;27.31500001;20.12699999;28.28099999;75.72299999
bta4_4;12;28.13899998;19.69799997;33.05899997;80.89599992
bta2_c4;1;222.2819998;184.467;355.4530003;762.2020001
bta2_c4;2;166.7139997;151.5540002;235.0150001;553.283
bta2_c4;3;177.7660001;136.8130001;220.5329998;535.112
bta2_c4;4;147.6760002;119.74;201.5139998;468.93
bta2_c4;5;144.9390001;100.3159999;143.295;388.55
bta2_c4;7;82.28199997;47.90499998;50.65100005;180.838
bta2_c4;8;79.45100001;36.12400002;44.37799997;159.953
bta2_c4;9;109.5419999;63.95099989;55.46499994;228.9579997
bta2_c4;10;139.2779999;114.647;125.5305001;379.4555
bta2_c4;11;176.036;116.3659999;180.9230001;473.325
bta2_c4;12;266.6140001;162.1339997;253.7280001;682.4759999
bta3_c2;1;203.6840003;159.2940002;295.5200002;658.4980007
bta3_c2;2;209.0499999;157.6739997;233.6009998;600.3249994
bta3_c2;3;250.57;171.4559998;257.8375002;679.8635
bta3_c2;4;192.5839998;164.2380003;294.8599999;651.682
bta3_c2;5;240.9359997;175.6799999;316.4030003;733.0189999
bta3_c2;6;240.7299998;178.0550001;331.0690001;749.854
bta3_c2;7;257.4399999;223.7540003;363.2639998;844.458
bta3_c2;8;259.3020003;189.3989998;346.0649999;794.766
bta3_c2;9;270.2499998;197.0599999;331.4050003;798.715
bta3_c2;10;229.4770001;192.6610001;318.2054998;740.3435
bta3_c2;11;205.0630002;168.7229998;303.217;677.003
bta3_c2;12;219.0370003;178.0550003;295.398;692.4900006
bta2_6;1;30.46899999;5.542999983;6.618999986;42.63099996
bta2_6;2;25.60900001;5.277999998;5.62199999;36.509
bta2_6;3;30.02099999;6.124000001;5.991500007;42.1365
bta2_6;4;55.83100001;10.70200003;5.357000027;71.89000007
bta2_6;5;41.89500001;9.983999999;5.524999986;57.404
bta2_6;6;31.93500003;12.17900002;6.468000007;50.58200006
bta2_6;7;25.24100001;6.966999991;5.196;37.404
bta2_6;8;14.599;4.477000007;5.120999992;24.197
bta2_6;9;23.814;5.906999991;7.693000008;37.414
bta2_6;10;25.65399998;5.595999983;5.590999997;36.84099996
bta2_6;11;28.842;6.29700001;5.958999989;41.098
bta2_6;12;27.58;4.720000007;6.095999993;38.396
bta2_10;1;299.6880001;21.0420001;31.83500017;352.5650004
bta2_10;2;218.3829999;25.69399996;25.91199988;269.9889997
bta2_10;3;273.734;24.31399992;20.77250004;318.8205
bta2_10;4;158.803;19.26200003;17.28299997;195.348
bta2_10;5;73.731;11.89199996;18.89900004;104.522
bta2_10;6;61.69200004;14.49100003;18.41900003;94.6020001
bta2_10;7;95.09600002;19.28;22.62399998;137
bta2_10;8;38.98199997;11.54199997;20.01699999;70.54099993
bta2_10;9;78.42599995;14.773;18.24900005;111.448
bta2_10;10;127.622;16.829;22.16700001;166.618
bta2_10;11;348.3829998;27.59699993;22.12199986;398.1019996
bta2_10;12;382.1859999;25.44599981;23.1419999;430.7739996
dom1_1;1;4.587000006;3.684999996;7.484999998;15.757
dom1_1;2;4.610000007;3.611000001;6.023000007;14.24400002
dom1_1;3;5.238;3.873999997;6.527000004;15.639
dom1_1;4;4.785000001;3.652999998;6.718;15.156
dom1_1;5;4.818999996;3.582999995;7.243999993;15.64599998
dom1_1;6;4.848000001;3.623000002;6.767999998;15.239
dom1_1;7;5.065000003;4.026999998;6.582999999;15.675
dom1_1;8;5.035999995;3.690999998;6.902000007;15.629
dom1_1;9;5.036999995;3.775999993;6.394999997;15.20799999
dom1_1;10;4.804000002;4.150999994;6.927000004;15.882
dom1_1;11;4.825999997;3.780000006;6.751999997;15.358
dom1_1;12;5.066000004;3.591000001;7.157999996;15.815
bta3_5;1;477.479;170.695;43.11299998;691.287
bta3_5;2;244.0930002;101.5240002;12.68700002;358.3040004
bta3_5;3;165.006;52.78199999;2.888500029;220.6765
bta3_5;4;82.83999998;26.90399999;8.993000033;118.737
bta3_5;5;90.17299999;49.38500004;23.50399997;163.062
bta3_5;6;89.31400007;46.02899998;24.63399995;159.977
bta3_5;7;93.63700002;51.73199993;15.64400006;161.013
bta3_5;8;87.21700001;34.39599995;8.675000039;130.288
bta3_5;9;92.91000004;40.67800004;9.106000059;142.6940001
bta3_5;10;95.04200006;53.94599998;19.06499996;168.053
bta3_5;11;316.5049998;118.0790002;47.13599996;481.72
bta3_5;12;492.1069999;153.798;76.56100006;722.466
bta2_7;4;6.924000048;93.55899997;168.146;268.629
bta2_7;5;6.376999953;86.97399993;164.3640001;257.715
bta2_7;6;10.95899993;65.872;125.5760001;202.407
bta2_7;7;9.407000009;27.15000004;80.25999995;116.817
bta2_7;8;13.29899998;34.15500001;60.01100002;107.465
bta2_7;9;8.650000052;56.76699995;153.892;219.309
bta2_7;10;6.364999938;38.24099995;95.26499997;139.8709999
bta2_7;11;6.641000011;33.05600006;144.8509999;184.548
bta2_7;12;11.37000006;14.85599993;121.232;147.458
dom4_4;1;17.40200002;19.77699998;15.265;52.444
dom4_4;2;14.026;16.463;11.54;42.029
dom4_4;3;13.88899999;14.652;9.585000004;38.12599999
dom4_4;4;12.218;12.90900001;10.93399999;36.061
dom4_4;5;9.847999989;10.94400001;13.796;34.588
dom4_4;6;9.018999989;9.540000002;12.03400001;30.593
dom4_4;7;8.889999989;6.48299999;9.121999997;24.49499998
dom4_4;8;7.584999997;8.052999992;11.63200001;27.27
dom4_4;9;9.919000004;15.183;9.215999996;34.318
dom4_4;10;11.63100001;16.862;10.31049999;38.8035
dom4_4;12;20.556;18.3;17.178;56.034
dom4_9;1;84.89800005;79.47000008;113.7419999;278.11
dom4_9;2;64.01099997;61.92899996;65.64800007;191.588
dom4_9;3;81.3210001;69.5079999;64.297;215.126
dom4_9;4;65.02599999;54.52500005;60.00499997;179.556
dom4_9;5;63.52600004;44.01900003;72.48999994;180.035
dom4_9;6;55.90700005;42.94100006;74.33000006;173.1780002
dom4_9;7;72.73800009;51.2440001;73.835;197.8170002
dom4_9;8;52.64599997;34.55799999;56.69700004;143.901
dom4_9;9;66.95199995;49.36899996;59.67599991;175.9969998
dom4_9;10;67.50600006;54.82799998;61.82349996;184.1575
