user;month;x_f1;x_f2;x_f3
bta5_6;1;0.308448107;0.265869583;0.425682311
bta5_6;2;0.346472008;0.279518444;0.374009548
bta5_6;3;0.37138171;0.262377586;0.366240704
bta5_6;4;0.304723211;0.300856522;0.394420266
bta5_6;5;0.313722795;0.24647554;0.439801665
bta5_6;6;0.362568966;0.232789479;0.404641556
bta5_6;7;0.311687475;0.267277425;0.4210351
bta5_6;8;0.359335692;0.233759288;0.40690502
bta5_6;9;0.334091183;0.26319839;0.402710427
bta5_6;10;0.31696279;0.308747395;0.374289815
bta5_6;11;0.359902289;0.247828334;0.392269376
bta5_6;12;0.35956027;0.229183104;0.411256626
bta4_2;1;0.301342538;0.237846683;0.460810779
bta4_2;2;0.312406103;0.266853197;0.4207407
bta4_2;3;0.321445975;0.261393655;0.41716037
bta4_2;4;0.310701802;0.239661199;0.449636999
bta4_2;5;0.292558788;0.225155677;0.482285536
bta4_2;6;0.295381246;0.231747746;0.472871008
bta4_2;7;0.316267916;0.252523563;0.431208522
bta4_2;8;0.29946868;0.241610738;0.458920582
bta4_2;9;0.315917929;0.265388226;0.418693845
bta4_2;10;0.290526683;0.278545559;0.430927758
bta4_2;11;0.334694227;0.248322312;0.416983461
bta4_2;12;0.372225918;0.211991668;0.415782414
bta3_9;1;0.636785934;0.190464964;0.172749102
bta3_9;2;0.636436332;0.238326137;0.125237531
bta3_9;3;0.644040115;0.22376925;0.132190635
bta3_9;4;0.558592021;0.238986135;0.202421844
bta3_9;5;0.538019199;0.234519172;0.227461629
bta3_9;6;0.573891471;0.240451581;0.185656948
bta3_9;7;0.569727571;0.250996574;0.179275855
bta3_9;8;0.552624235;0.241990712;0.205385053
bta3_9;9;0.580991889;0.224120668;0.194887443
bta3_9;10;0.551785261;0.244591973;0.203622766
bta3_9;11;0.64744847;0.205376617;0.147174913
bta3_9;12;0.649386528;0.178777921;0.171835551
bta5_8;1;0.485269015;0.194276401;0.320454584
bta5_8;2;0.525827422;0.214193025;0.259979553
bta5_8;3;0.536074727;0.215352532;0.248572741
bta5_8;4;0.535686134;0.203046738;0.261267128
bta5_8;5;0.49579748;0.209966015;0.294236504
bta5_8;6;0.569993251;0.182675942;0.247330807
bta5_8;7;0.630586702;0.164400043;0.205013255
bta5_8;8;0.459642855;0.213794393;0.326562752
bta5_8;9;0.514554758;0.207865772;0.277579469
bta5_8;10;0.480775433;0.21772256;0.301502008
bta5_8;11;0.523044836;0.195647761;0.281307403
bta5_8;12;0.530231672;0.184317124;0.285451204
dom3_2;1;0.277172056;0.253671086;0.469156858
dom3_2;2;0.297063218;0.270480656;0.432456126
dom3_2;3;0.319798683;0.276311375;0.403889942
dom3_2;4;0.285063749;0.24007647;0.474859782
dom3_2;5;0.236129474;0.213572881;0.550297645
dom3_2;6;0.279011777;0.256465247;0.464522975
dom3_2;7;0.317361621;0.275508002;0.407130377
dom3_2;8;0.262651531;0.237815933;0.499532536
dom3_2;9;0.332780167;0.251449307;0.415770527
dom3_2;10;0.277507158;0.282591345;0.439901497
dom3_2;11;0.29464575;0.263302734;0.442051515
dom3_2;12;0.304362981;0.235613075;0.460023944
bta4_9;1;0.260281607;0.238687714;0.501030679
bta4_9;2;0.278428106;0.265117594;0.4564543
bta4_9;3;0.27348625;0.259732408;0.466781342
bta4_9;4;0.24940824;0.233011236;0.517580524
bta4_9;5;0.243943871;0.216045383;0.540010746
bta4_9;6;0.258940112;0.218592392;0.522467496
bta4_9;7;0.24440563;0.241140138;0.514454232
bta4_9;8;0.204450292;0.230102775;0.565446933
bta4_9;9;0.227830278;0.275501169;0.496668554
bta4_9;10;0.230709996;0.287116759;0.482173245
bta4_9;11;0.272993082;0.264075474;0.462931443
bta4_9;12;0.28242122;0.240633156;0.476945624
dom3_6;1;0.260674658;0.351473639;0.387851703
dom3_6;2;0.24160217;0.443924946;0.314472885
dom3_6;3;0.227339891;0.478671038;0.293989071
dom3_6;4;0.20936458;0.461398495;0.329236925
dom3_6;5;0.189828172;0.452867904;0.357303924
dom3_6;6;0.197634535;0.418837252;0.383528214
dom3_6;7;0.174894511;0.484341158;0.340764331
dom3_6;8;0.41426424;0.279024752;0.306711009
dom3_6;9;0.247225641;0.428221417;0.324552943
dom3_6;10;0.228797376;0.490005082;0.281197542
dom3_6;11;0.254561076;0.411930249;0.333508675
dom3_6;12;0.296178278;0.338252473;0.365569249
bta6l_c1;1;0.675677527;0.123691697;0.200630776
bta6l_c1;2;0.725989685;0.119766786;0.154243529
bta6l_c1;3;0.752615505;0.104884769;0.142499726
bta6l_c1;4;0.710778608;0.111119785;0.178101607
bta6l_c1;5;0.746914759;0.098855782;0.154229459
bta6l_c1;6;0.578672213;0.155651775;0.265676012
bta6l_c1;7;0.323565132;0.237183111;0.439251757
bta6l_c1;8;0.366758159;0.216412001;0.41682984
bta6l_c1;9;0.649047647;0.156452578;0.194499775
bta6l_c1;10;0.672035856;0.137916749;0.190047395
bta6l_c1;11;0.772037917;0.098963388;0.128998695
bta6l_c1;12;0.682349351;0.116642689;0.20100796
bta3_8;5;0.712831951;0.227940801;0.059227248
bta3_8;6;0.781958715;0.182119361;0.035921924
bta3_8;7;0.804419165;0.171849283;0.023731552
bta3_8;8;0.833781589;0.132942634;0.033275777
bta3_8;9;0.793967017;0.17616088;0.029872103
bta1_2;1;0.336406946;0.224373751;0.439219302
bta1_2;2;0.378735348;0.240383028;0.380881625
bta1_2;3;0.369247262;0.249483115;0.381269622
bta1_2;4;0.357017123;0.234917587;0.40806529
bta1_2;5;0.343778944;0.232016054;0.424205002
bta1_2;6;0.34577973;0.24913712;0.40508315
bta1_2;7;0.346545342;0.273288094;0.380166564
bta1_2;8;0.348221161;0.246727245;0.405051594
bta1_2;9;0.365617048;0.246501272;0.387881679
bta1_2;10;0.338157592;0.25867218;0.403170227
bta1_2;11;0.360530421;0.238221529;0.40124805
bta1_2;12;0.365823566;0.213602714;0.42057372
bta6_3;1;0.382271166;0.295710766;0.322018068
bta6_3;2;0.377192344;0.320718327;0.302089329
bta6_3;3;0.403226454;0.305750992;0.291022554
bta6_3;4;0.42060783;0.303542153;0.275850017
bta6_3;5;0.365384529;0.301652768;0.332962703
bta6_3;6;0.356463038;0.296421037;0.347115925
bta6_3;7;0.351744624;0.328122351;0.320133024
bta6_3;8;0.310841165;0.293628354;0.395530481
bta6_3;9;0.37847471;0.313382681;0.308142609
bta6_3;10;0.361626389;0.3370971;0.301276511
bta6_3;11;0.387388038;0.31917237;0.293439592
bta6_3;12;0.396093619;0.302846794;0.301059587
dom2_2;1;0.3093425;0.292972456;0.397685044
dom2_2;2;0.304732909;0.342266023;0.353001068
dom2_2;3;0.335337461;0.3218814;0.342781139
dom2_2;4;0.346717276;0.293945304;0.359337421
dom2_2;5;0.332815451;0.292240766;0.374943783
dom2_2;6;0.298031777;0.334804492;0.367163731
dom2_2;7;0.304129152;0.354800518;0.34107033
dom2_2;8;0.330750426;0.305156695;0.364092879
dom2_2;9;0.307567747;0.344323702;0.348108551
dom2_2;10;0.247993719;0.388459242;0.363547039
dom2_2;11;0.292603376;0.355421243;0.351975381
dom2_2;12;0.324668273;0.316396308;0.358935419
dom3_10;1;0.300013329;0.304040327;0.395946344
dom3_10;2;0.334597779;0.341926017;0.323476204
dom3_10;3;0.344485229;0.346566916;0.308947856
dom3_10;4;0.324696671;0.295926616;0.379376713
dom3_10;5;0.347546648;0.286749597;0.365703755
dom3_10;6;0.285821113;0.354423546;0.359755341
dom3_10;7;0.275971866;0.376101229;0.347926906
dom3_10;8;0.23744048;0.306277372;0.456282147
dom3_10;9;0.307408574;0.339395439;0.353195988
dom3_10;10;0.269225463;0.399181593;0.331592944
dom3_10;11;0.319926418;0.34480421;0.335269372
dom3_10;12;0.32753094;0.297628096;0.374840964
bta3_7;1;0.452083961;0.265276732;0.282639307
bta3_7;2;0.430188564;0.287938467;0.28187297
bta3_7;3;0.422202972;0.281148726;0.296648302
bta3_7;4;0.369799077;0.275600397;0.354600526
bta3_7;5;0.334887758;0.280209237;0.384903005
bta3_7;6;0.347371888;0.302475212;0.350152899
bta3_7;7;0.410873657;0.295976314;0.293150029
bta3_7;8;0.412239793;0.290204633;0.297555574
bta3_7;9;0.461389318;0.321413198;0.217197483
bta3_7;10;0.374262416;0.30167984;0.324057744
bta3_7;11;0.420252219;0.296225217;0.283522565
bta3_7;12;0.461606846;0.256930272;0.281462882
bta1_10;1;0.358808131;0.258384801;0.382807068
bta1_10;2;0.446901422;0.272218609;0.280879969
bta1_10;3;0.458465868;0.249299809;0.292234323
bta1_10;4;0.317217101;0.351705724;0.331077174
bta1_10;5;0.300144663;0.311898547;0.38795679
bta1_10;6;0.419846065;0.276270906;0.303883029
bta1_10;7;0.392846804;0.303728578;0.303424618
bta1_10;8;0.393532224;0.264117356;0.34235042
bta1_10;10;0.385787846;0.24516365;0.369048504
bta1_10;11;0.429646948;0.244659174;0.325693878
bta1_10;12;0.418851748;0.235437612;0.34571064
bta6l_5;1;0.389834986;0.202319174;0.40784584
bta6l_5;2;0.436316744;0.209017943;0.354665313
bta6l_5;3;0.508259767;0.189601911;0.302138322
bta6l_5;4;0.555251929;0.181546306;0.263201765
bta6l_5;5;0.576233006;0.168184572;0.255582422
bta6l_5;6;0.518537214;0.19196737;0.289495416
bta6l_5;7;0.506456224;0.214856301;0.278687475
