user;month;y_i0;y_i1;y_i2;y_i3;y_i4;y_i5;y_i6;y_i7;y_i8;y_i9;y_i10;y_i11;y_i12;y_i13;y_i14;y_i15;y_i16;y_i17;y_i18;y_i19;y_i20;y_i21;y_i22;y_i23;y_i24;y_i25;y_i26;y_i27;y_i28;y_i29;y_i30;y_i31;y_i32;y_i33;y_i34;y_i35;y_i36;y_i37;y_i38;y_i39;y_i40;y_i41;y_i42;y_i43;y_i44;y_i45;y_i46;y_i47;y_i48;y_i49;y_i50;y_i51;y_i52;y_i53;y_i54;y_i55;y_i56;y_i57;y_i58;y_i59;y_i60;y_i61;y_i62;y_i63;y_i64;y_i65;y_i66;y_i67;y_i68;y_i69;y_i70;y_i71
bta5_6;1;0.000960006;0.000929267;0.000852697;0.000798313;0.000797617;0.001035741;0.001365456;0.001066271;0.001271222;0.001321086;0.001110641;0.001008479;0.000965639;0.001063211;0.001060569;0.001345914;0.001675351;0.002712135;0.00188816;0.002379359;0.00133277;0.001147222;0.00109548;0.000818272;0.000796991;0.000796296;0.000797339;0.000795948;0.0007956;0.0007956;0.000838023;0.001000412;0.002254664;0.001060221;0.002410099;0.001172537;0.001283114;0.001213916;0.003171969;0.002074542;0.002746699;0.002517546;0.002761999;0.002662201;0.00277104;0.001272335;0.000988589;0.000799773;0.001323152;0.000794607;0.001313416;0.000794607;0.000793812;0.000793017;0.001222212;0.001249037;0.001628556;0.002697172;0.001695519;0.001577093;0.001499599;0.001627165;0.00132653;0.002682468;0.002249101;0.001800433;0.002923295;0.001710024;0.00104358;0.001011589;0.000991719;0.000805535
bta5_6;2;0.000914756;0.001044554;0.00101062;0.000965657;0.001037536;0.001206204;0.001078565;0.000903342;0.001074401;0.001743674;0.002329732;0.001239984;0.001071161;0.001415284;0.001123451;0.001344331;0.002015918;0.002176565;0.001789099;0.0026319;0.001681281;0.001176203;0.001294741;0.00124168;0.000889614;0.001500814;0.001248236;0.000889228;0.000889614;0.000889228;0.001872161;0.000786269;0.001054657;0.000889614;0.001885657;0.002039132;0.001418678;0.003238009;0.00141058;0.002019851;0.002392741;0.002334128;0.003968364;0.002856636;0.002524236;0.001322274;0.001301451;0.001719457;0.000906581;0.000908123;0.000908509;0.000907738;0.00090581;0.000904653;0.000954783;0.000731897;0.000722643;0.001817789;0.004148446;0.001712131;0.002248136;0.001217387;0.002121654;0.002936073;0.002100831;0.002839669;0.001794267;0.003939829;0.002362278;0.00200327;0.001113656;0.000900025
bta5_6;3;0.000776319;0.000775208;0.000774974;0.00101829;0.000934962;0.001116587;0.001099804;0.000950634;0.001313064;0.001367738;0.001587196;0.001155882;0.001155122;0.001323239;0.001050743;0.001031154;0.001957871;0.002210602;0.001994419;0.002151016;0.00153299;0.001616843;0.00099028;0.000813743;0.001659983;0.000773673;0.000775018;0.000773673;0.000773673;0.000773;0.000816711;0.000751481;0.002066489;0.001772285;0.00167545;0.001232967;0.001826755;0.00109612;0.00149691;0.001791451;0.001304249;0.001330475;0.001704702;0.0021566;0.000974068;0.00178708;0.000987181;0.000778716;0.000773;0.000775018;0.000774513;0.000773336;0.000773336;0.000840583;0.001697305;0.001380574;0.001041987;0.002599755;0.001239692;0.003208338;0.002177783;0.002266884;0.001676123;0.003620223;0.003114528;0.001397049;0.002892951;0.003910056;0.002064472;0.00162367;0.000961291;0.000821418
bta5_6;4;0.001166949;0.001292321;0.000932625;0.000976517;0.001232319;0.001239557;0.001220023;0.000978151;0.001417148;0.001341504;0.002008054;0.001054884;0.000782272;0.000985778;0.001114652;0.00145458;0.00151427;0.001694352;0.001143135;0.002631879;0.002555458;0.001492558;0.001326173;0.001186093;0.000951147;0.001745812;0.00119261;0.000948287;0.000949104;0.000949921;0.000998541;0.000873927;0.000831436;0.000843693;0.002776221;0.005139379;0.001892488;0.00084451;0.000942975;0.002330064;0.003541877;0.001495768;0.001835697;0.001204459;0.001165645;0.001166054;0.001162785;0.000939707;0.001773186;0.001755536;0.000932189;0.000933497;0.000934804;0.000932843;0.000982198;0.001563018;0.000735423;0.001409397;0.002968493;0.002381789;0.00240761;0.001602568;0.00073575;0.000735423;0.001573151;0.00139763;0.000774318;0.00186111;0.001318531;0.001304476;0.001158372;0.000937746
bta5_6;5;0.000897258;0.000897404;0.001401407;0.001005753;0.000931217;0.000876025;0.001317128;0.001101012;0.001077524;0.001795389;0.001706747;0.001215615;0.001280478;0.001162531;0.001180783;0.001190164;0.001210888;0.001266953;0.001852109;0.001838511;0.001643192;0.00129444;0.001432094;0.001189509;0.001081542;0.001612196;0.000873862;0.000874625;0.000874625;0.00087577;0.000921582;0.000775366;0.002620058;0.002000452;0.000855155;0.001079633;0.003380917;0.001391154;0.000886842;0.002607078;0.001789336;0.000743298;0.000686415;0.00107887;0.001175075;0.001089177;0.001086505;0.000878443;0.000873225;0.000871698;0.000872207;0.000872971;0.001290622;0.001098976;0.000918274;0.001673915;0.001673915;0.000883151;0.000812143;0.002192862;0.003144476;0.001582546;0.002390617;0.002320372;0.002117781;0.001937079;0.001802697;0.001800916;0.001900684;0.002689666;0.001571347;0.000874752
bta5_6;6;0.00148686;0.001249089;0.001006157;0.001094734;0.001141564;0.000960636;0.00105345;0.001028109;0.001388347;0.001673026;0.0015759;0.00222875;0.00162997;0.001524679;0.00095925;0.001071704;0.001555873;0.001835083;0.001822606;0.001647454;0.00136162;0.00152283;0.001317255;0.001068777;0.000926014;0.000926014;0.000927632;0.000927632;0.000926419;0.00092561;0.000972113;0.00109666;0.002475976;0.001233338;0.000748899;0.000935315;0.00159606;0.001465852;0.001227272;0.000853227;0.000985862;0.001754979;0.002972951;0.001230507;0.001200988;0.001158124;0.001155698;0.000938954;0.000928117;0.001250321;0.001350282;0.000929411;0.000927147;0.000926823;0.00097373;0.000749222;0.000852095;0.002597045;0.003513517;0.003448493;0.001326667;0.000844654;0.000853389;0.001552469;0.001751421;0.001572526;0.001816767;0.002760736;0.001479682;0.002389359;0.00116977;0.000931029
bta5_6;7;0.001125054;0.001419012;0.001083562;0.001658846;0.00133586;0.001200844;0.001166378;0.001493296;0.001294786;0.000956325;0.001249195;0.001244511;0.001350583;0.001181269;0.001154583;0.001368067;0.001859948;0.001226525;0.00128182;0.00165299;0.001425536;0.001398015;0.001445613;0.001550933;0.00119109;0.001839269;0.001947851;0.001089869;0.001089501;0.001089869;0.001138823;0.001093918;0.001052325;0.00093675;0.000877122;0.001954477;0.001863562;0.00175682;0.001230474;0.001721117;0.000884852;0.000886324;0.000971717;0.001461256;0.001398316;0.001397211;0.001341264;0.001101648;0.001096402;0.002156458;0.002175781;0.001098243;0.001098243;0.001097323;0.001148393;0.00088798;0.003142898;0.0019692;0.000974018;0.000951933;0.000921567;0.000864515;0.000865896;0.000864975;0.000864975;0.000968957;0.001227989;0.002323011;0.002470701;0.001452055;0.002041434;0.001513247
bta5_6;8;0.001655065;0.00148325;0.001312592;0.001185839;0.001054125;0.001053216;0.001102164;0.000970533;0.00143579;0.001115393;0.001889058;0.001622653;0.001299363;0.00155907;0.001525666;0.001666971;0.001237102;0.001570646;0.001411729;0.001704675;0.001353768;0.001431407;0.00137477;0.001154998;0.001049578;0.001048213;0.001050032;0.001050487;0.001050487;0.001051397;0.002150997;0.001159174;0.001936807;0.000890413;0.00082129;0.001984102;0.001757178;0.001178728;0.000912241;0.000959991;0.000865856;0.000885411;0.001275137;0.002297429;0.001289234;0.001349717;0.001283777;0.001051851;0.001013561;0.001484688;0.001260584;0.001013561;0.001013561;0.001014288;0.00276128;0.000881863;0.000805101;0.000969904;0.000900781;0.000921518;0.000937889;0.001530164;0.001754632;0.000883682;0.001745537;0.00086149;0.000895688;0.001415929;0.00208533;0.001327525;0.001263131;0.001031387
bta5_6;9;0.001080037;0.001288224;0.001168445;0.000966938;0.001098574;0.001182255;0.00100799;0.001022249;0.000976469;0.001075684;0.002105438;0.002106564;0.001048516;0.001120489;0.001161991;0.00125115;0.00103831;0.001670451;0.0016309;0.001450932;0.00163758;0.00175931;0.001632326;0.001297305;0.001000147;0.00100056;0.001108293;0.001830645;0.001000972;0.000999321;0.00103936;0.00095887;0.001015832;0.000886222;0.001566883;0.003745082;0.001478137;0.000895716;0.001653565;0.001215201;0.00086063;0.001052982;0.001833947;0.00301076;0.001360084;0.00124327;0.001759235;0.001921454;0.001494648;0.000999734;0.001000972;0.001001385;0.000999734;0.000998496;0.001040186;0.000872188;0.000799127;0.000955568;0.003202286;0.004531413;0.002572396;0.000988589;0.002725122;0.002253736;0.001057935;0.001531797;0.001409617;0.00193425;0.003833828;0.001936314;0.001228823;0.001414983
bta5_6;10;0.000822356;0.001089195;0.000964756;0.000949244;0.001065586;0.001062592;0.000990406;0.000819226;0.001210095;0.001815143;0.001288745;0.001410803;0.001346168;0.001170158;0.001636547;0.001426179;0.001410939;0.001155598;0.00122309;0.002328137;0.002013197;0.001441555;0.001040957;0.000834398;0.000821539;0.000820682;0.000822111;0.000821825;0.001362184;0.000947556;0.000856687;0.000765818;0.00089755;0.001067001;0.003654493;0.003046983;0.001788241;0.001082718;0.000904979;0.001467912;0.002680362;0.003171;0.001872253;0.001349039;0.002086567;0.002118572;0.001695086;0.00082554;0.000813253;0.000812967;0.000812538;0.000811538;0.000811252;0.001522205;0.000808109;0.000649516;0.000634086;0.000724384;0.001156442;0.00340846;0.001659081;0.001594501;0.000873547;0.001382187;0.00173452;0.001861394;0.00456233;0.003128422;0.001973409;0.001375329;0.000974132;0.000826397
